Num   y   M   d   h   min   s   ms      T_raw   T_C   Hum_raw   Hum_% 

1   2022   12   20   10   2   7   145      6185   22.15   1477   48.65


2   2022   12   20   10   2   7   546      6186   22.16   1478   48.68


3   2022   12   20   10   2   7   947      6184   22.14   1477   48.65


4   2022   12   20   10   2   8   348      6184   22.14   1477   48.65


5   2022   12   20   10   2   8   750      6184   22.14   1476   48.62


6   2022   12   20   10   2   9   151      6184   22.14   1476   48.62


7   2022   12   20   10   2   9   553      6185   22.15   1476   48.62


8   2022   12   20   10   2   9   954      6185   22.15   1476   48.62


9   2022   12   20   10   2   10   355      6186   22.16   1476   48.62


10   2022   12   20   10   2   10   756      6186   22.16   1476   48.62


11   2022   12   20   10   2   11   158      6185   22.15   1476   48.62


12   2022   12   20   10   2   11   559      6185   22.15   1476   48.62


13   2022   12   20   10   2   11   960      6185   22.15   1476   48.62


14   2022   12   20   10   2   12   362      6186   22.16   1475   48.59


15   2022   12   20   10   2   12   763      6185   22.15   1476   48.62


16   2022   12   20   10   2   12   764      6186   22.16   1475   48.59


17   2022   12   20   10   2   13   165      6185   22.15   1475   48.59


18   2022   12   20   10   2   13   567      6185   22.15   1475   48.59


19   2022   12   20   10   2   13   968      6186   22.16   1475   48.59


20   2022   12   20   10   2   14   369      6185   22.15   1474   48.55


21   2022   12   20   10   2   14   771      6186   22.16   1475   48.59


22   2022   12   20   10   2   15   172      6186   22.16   1475   48.59


23   2022   12   20   10   2   15   574      6186   22.16   1474   48.55


24   2022   12   20   10   2   15   976      6186   22.16   1474   48.55


25   2022   12   20   10   2   16   377      6186   22.16   1475   48.59


26   2022   12   20   10   2   16   778      6185   22.15   1474   48.55


27   2022   12   20   10   2   17   179      6186   22.16   1474   48.55


28   2022   12   20   10   2   17   581      6186   22.16   1474   48.55


29   2022   12   20   10   2   17   982      6186   22.16   1474   48.55


30   2022   12   20   10   2   18   383      6187   22.17   1475   48.59


31   2022   12   20   10   2   18   384      6186   22.16   1474   48.55


32   2022   12   20   10   2   18   785      6186   22.16   1474   48.55


33   2022   12   20   10   2   19   187      6186   22.16   1474   48.55


34   2022   12   20   10   2   19   588      6188   22.18   1474   48.55


35   2022   12   20   10   2   19   990      6187   22.17   1473   48.52


36   2022   12   20   10   2   20   391      6188   22.18   1474   48.55


37   2022   12   20   10   2   20   792      6188   22.18   1474   48.55


38   2022   12   20   10   2   21   193      6189   22.19   1473   48.52


39   2022   12   20   10   2   21   595      6189   22.19   1473   48.52


40   2022   12   20   10   2   21   996      6189   22.19   1472   48.49


41   2022   12   20   10   2   22   397      6188   22.18   1473   48.52


42   2022   12   20   10   2   22   799      6188   22.18   1473   48.52


43   2022   12   20   10   2   23   200      6189   22.19   1473   48.52


44   2022   12   20   10   2   23   602      6188   22.18   1473   48.52


45   2022   12   20   10   2   24   3      6188   22.18   1472   48.49


46   2022   12   20   10   2   24   3      6188   22.18   1472   48.49


47   2022   12   20   10   2   24   405      6189   22.19   1472   48.49


48   2022   12   20   10   2   24   807      6189   22.19   1472   48.49


49   2022   12   20   10   2   25   208      6189   22.19   1472   48.49


50   2022   12   20   10   2   25   609      6188   22.18   1472   48.49


51   2022   12   20   10   2   26   11      6190   22.2   1472   48.49


52   2022   12   20   10   2   26   412      6189   22.19   1472   48.49


53   2022   12   20   10   2   26   813      6189   22.19   1472   48.49


54   2022   12   20   10   2   27   214      6191   22.21   1472   48.49


55   2022   12   20   10   2   27   616      6188   22.18   1472   48.49


56   2022   12   20   10   2   28   17      6190   22.2   1472   48.49


57   2022   12   20   10   2   28   419      6189   22.19   1472   48.49


58   2022   12   20   10   2   28   820      6188   22.18   1472   48.49


59   2022   12   20   10   2   29   221      6187   22.17   1472   48.49


60   2022   12   20   10   2   29   623      6188   22.18   1472   48.49


61   2022   12   20   10   2   29   623      6188   22.18   1472   48.49


62   2022   12   20   10   2   30   25      6187   22.17   1472   48.49


63   2022   12   20   10   2   30   426      6186   22.16   1472   48.49


64   2022   12   20   10   2   30   828      6187   22.17   1472   48.49


65   2022   12   20   10   2   31   229      6188   22.18   1472   48.49


66   2022   12   20   10   2   31   631      6188   22.18   1473   48.52


67   2022   12   20   10   2   32   32      6186   22.16   1473   48.52


68   2022   12   20   10   2   32   434      6187   22.17   1473   48.52


69   2022   12   20   10   2   32   835      6186   22.16   1473   48.52


70   2022   12   20   10   2   33   237      6186   22.16   1473   48.52


71   2022   12   20   10   2   33   638      6187   22.17   1473   48.52


72   2022   12   20   10   2   34   39      6187   22.17   1474   48.55


73   2022   12   20   10   2   34   440      6186   22.16   1474   48.55


74   2022   12   20   10   2   34   842      6186   22.16   1473   48.52


75   2022   12   20   10   2   34   842      6186   22.16   1474   48.55


76   2022   12   20   10   2   35   244      6186   22.16   1474   48.55


77   2022   12   20   10   2   35   645      6186   22.16   1474   48.55


78   2022   12   20   10   2   36   46      6185   22.15   1474   48.55


79   2022   12   20   10   2   36   448      6186   22.16   1474   48.55


80   2022   12   20   10   2   36   850      6186   22.16   1474   48.55


81   2022   12   20   10   2   37   251      6185   22.15   1475   48.59


82   2022   12   20   10   2   37   652      6186   22.16   1474   48.55


83   2022   12   20   10   2   38   54      6186   22.16   1474   48.55


84   2022   12   20   10   2   38   455      6186   22.16   1475   48.59


85   2022   12   20   10   2   38   856      6186   22.16   1475   48.59


86   2022   12   20   10   2   39   258      6186   22.16   1475   48.59


87   2022   12   20   10   2   39   659      6185   22.15   1475   48.59


88   2022   12   20   10   2   40   60      6185   22.15   1475   48.59


89   2022   12   20   10   2   40   461      6186   22.16   1476   48.62


90   2022   12   20   10   2   40   461      6185   22.15   1475   48.59


91   2022   12   20   10   2   40   862      6186   22.16   1475   48.59


92   2022   12   20   10   2   41   263      6185   22.15   1475   48.59


93   2022   12   20   10   2   41   664      6186   22.16   1475   48.59


94   2022   12   20   10   2   42   65      6184   22.14   1476   48.62


95   2022   12   20   10   2   42   466      6186   22.16   1476   48.62


96   2022   12   20   10   2   42   867      6186   22.16   1475   48.59


97   2022   12   20   10   2   43   268      6185   22.15   1475   48.59


98   2022   12   20   10   2   43   669      6186   22.16   1476   48.62


99   2022   12   20   10   2   44   70      6184   22.14   1476   48.62


100   2022   12   20   10   2   44   471      6185   22.15   1476   48.62


101   2022   12   20   10   2   44   872      6185   22.15   1476   48.62


102   2022   12   20   10   2   45   273      6184   22.14   1476   48.62


103   2022   12   20   10   2   45   674      6184   22.14   1476   48.62


104   2022   12   20   10   2   46   75      6185   22.15   1476   48.62


105   2022   12   20   10   2   46   76      6185   22.15   1476   48.62


106   2022   12   20   10   2   46   477      6185   22.15   1476   48.62


107   2022   12   20   10   2   46   878      6185   22.15   1476   48.62


108   2022   12   20   10   2   47   280      6185   22.15   1476   48.62


109   2022   12   20   10   2   47   682      6185   22.15   1476   48.62


110   2022   12   20   10   2   48   84      6185   22.15   1476   48.62


111   2022   12   20   10   2   48   485      6184   22.14   1476   48.62


112   2022   12   20   10   2   48   886      6186   22.16   1475   48.59


113   2022   12   20   10   2   49   287      6185   22.15   1475   48.59


114   2022   12   20   10   2   49   688      6186   22.16   1476   48.62


115   2022   12   20   10   2   50   90      6186   22.16   1475   48.59


